,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude,origin_descripcion,origin_temperatura,origin_minima,origin_maxima,origin_sensacion_termica,origin_nubes,destination_descripcion,destination_temperatura,destination_minima,destination_maxima,destination_sensacion_termica,destination_nubes
66,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
67,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
68,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
69,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
70,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
71,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
72,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
73,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
74,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
75,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
76,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
77,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
78,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
